"brewery_name"	"brewery_loc_desc"
"Lurgashall"	"West Sussex"
"Lyme Bay"	"Devon"
"Maidenshair"	"East Sussex"
"Giffords Hall Vineyard"	"Suffolk"
"New Hall Vineyard"	"Essex"
"Winbirri Vineyards"	"Norfolk"
"Mersea Island Vineyard"	"Essex"
