Bar,Brewery,Beer,ABV,Style,No,size,Kils,Supplier
North,Jacobi of Caio,Original Brown,4.4%,,3,18,3,Breconshire
North,Kelburn,Carte Blanche,5%,Speciality,3,18,3,Small Beer
North,Kingstone,Three Castles,3.8%,Bitter,3,9,1.5,Breconshire
North,Messrs Maguire,Haus,,Speciality,3,9,1.5,Boggart
North,Orkney,Raven Ale,3.8%,Bitter,3,18,3,Small Beer
North,Porterhouse,TSB,3.8%,Bitter,3,9,1.5,Boggart
North,Purple Moose,Dark Side of the Moose,4.6%,Strong Mild,2,18,2,Boggart
North,Windie Goat,The Dub,4.6%,Porter,3,9,1.5,Boggart
North,Bank Top,Mild,3.7%,Mild,3,9,1.5,Boggart
North,Batemans,XXXB,4.8%,Premium,3,18,3,Brewery
North,Black Hole ,Bitter,3.8%,Bitter,3,9,1.5,Brewery
North,Big Lamp,Summer Daze,3.8%,Golden,3,18,3,Boggart
North,Burton Bridge,Porter,4.5%,Porter,2,18,2,Small Beer
North,Castle Rock,Hay Rattle,4.4%,Best Bitter,2,18,2,Archers
North,Cropton,Two Pints,4%,Best Bitter,3,18,3,Small Beer
North,Eastwards,England Glory,4%,Bitter,3,9,1.5,Boggart
North,Everards,Tiger,4.2%,Best Bitter,2,22,2.44444444444444,Brewery
North,Everards,Sly Fox,4%,Speciality,2,22,2.44444444444444,Brewery
North,Fen Ales,Red Fox,4%,Best Bitter,3,11,1.83333333333333,Brewery
North,Marble,Ginger,4.5%,Speciality,3,18,3,Boggart
North,Potbelly,Made in England,4.4%,Best Bitter,6,9,3,Brewery
North,John Roberts,Golden Nut,3.4%,Mild,3,9,1.5,Breconshire
North,Six Bells,Big Nev's,3.8%,Bitter,3,18,3,Breconshire
North,Station House,Golden n' Eye,4.5%,Golden,3,18,3,Boggart
North,Titanic,Nautical Mild,4.8%,Strong Mild,2,18,2,Small beer
North,Tunnel,Jean 'Cloudy'Van Damme,4.7%,Wheat,6,9,3,Boggart
North,Yorkshire Dales,As,,Bitter,3,18,3,Boggart
South,Archers,Golden,4.7%,Golden,3,18,3,Archers
South,Archers,Full Time,3.8%,Bitter,3,18,3,Archers
South,Beer Engine,Piston Bitter,4.3%,Best Bitter,3,18,3,Molecrew
South,Branscome,Branoc,3.8%,Bitter,3,18,3,Molecrew
South,Butts,Barbus barbus,4.6%,Premium,3,18,3,Moonshine
South,Butts,Le Butts Biere,5%,Lager,3,18,3,Moonshine
South,Cotleigh,Golden Seahawk,4.2%,Best Bitter,2,18,2,Moor
South,Cotswold Spring,Old English Rose,3.8%,Bitter,3,18,3,Moor
South,Crondall,Sober as a Judge,4%,Bitter,3,18,3,Molecrew
South,Digfield,Fools Nook,3.8%,Golden,3,18,3,Brewery
South,Dorset,Steam Beer,4.5%,Premium,3,18,3,Moor
South,Goachers,Real Mild Ale,3.4%,Mild,3,9,1.5,Crouch vale
South,Goachers,Imperial Stout,4.5%,Stout,2,18,2,Crouch vale
South,Gribble,Pigs Ear,5.8%,Old Ale,3,18,3,Molecrew
South,Harveys,Bitter,4%,Bitter,3,18,3,Small Beer
South,Hook Norton,Dark,3.2%,Mild,3,9,1.5,Small beer
South,Isle of Purbeck,Solar Power,4.3%,Best Bitter,4,9,2,Archers
South,Jollyboat,Freebooter,4%,Bitter,3,18,3,Moor
South,Juwards,Bishops Special Mild,3.8%,Mild,3,9,1.5,Moor
South,Larkins,Traditional Bitter,3.4%,Bitter,3,18,3,Crouch vale
